subject,session,run,task,runtime_seconds,duration_minutes,gpu_runtime_seconds
1,1,run-01,szMonitoring,30.77,1088.65,
1,1,run-02,szMonitoring,10.77,330.27,
1,1,run-03,szMonitoring,29.3,1082.98,
1,1,run-04,szMonitoring,11.75,353.48,
1,1,run-05,szMonitoring,27.55,1041.85,
1,1,run-06,szMonitoring,11.97,336.53,
1,1,run-07,szMonitoring,12.41,491.97,
1,1,run-08,szMonitoring,22.37,857.97,
1,1,run-09,szMonitoring,21.08,810.95,
2,1,run-01,szMonitoring,5.04,189.67,
2,1,run-02,szMonitoring,10.23,399.9,
2,1,run-03,szMonitoring,15.71,651.4,
2,1,run-04,szMonitoring,2.66,90.28,
2,1,run-05,szMonitoring,31.2,1299.32,
2,1,run-06,szMonitoring,38.1,1347.48,
2,1,run-07,szMonitoring,2.61,71.93,
2,1,run-08,szMonitoring,20.5,792.62,
2,1,run-09,szMonitoring,12.66,478.87,
2,1,run-10,szMonitoring,2.73,103.6,
2,1,run-11,szMonitoring,7.36,262.68,
2,1,run-12,szMonitoring,7.01,263.27,
3,1,run-01,szMonitoring,25.78,1073.57,
3,1,run-02,szMonitoring,4.03,131.97,
3,1,run-03,szMonitoring,4.34,148.45,
3,1,run-04,szMonitoring,32.76,1262.8,
3,1,run-05,szMonitoring,4.74,138.05,
3,1,run-06,szMonitoring,31.34,1284.4,
3,1,run-07,szMonitoring,4.0,118.55,
3,1,run-08,szMonitoring,35.07,1318.33,
3,1,run-09,szMonitoring,3.4,115.03,
3,1,run-10,szMonitoring,32.65,1303.65,
4,1,run-01,szMonitoring,27.46,1110.0,
5,1,run-01,szMonitoring,23.71,1021.32,
5,1,run-02,szMonitoring,1.66,50.82,
5,1,run-03,szMonitoring,4.82,165.07,
5,1,run-04,szMonitoring,2.69,96.47,
5,1,run-05,szMonitoring,6.69,292.37,
5,1,run-06,szMonitoring,4.12,150.63,
5,1,run-07,szMonitoring,4.32,138.17,
5,1,run-08,szMonitoring,7.98,324.32,
5,1,run-09,szMonitoring,3.03,108.07,
5,1,run-10,szMonitoring,2.72,112.85,
5,1,run-11,szMonitoring,9.92,389.75,
5,1,run-12,szMonitoring,25.38,869.45,
5,1,run-13,szMonitoring,1.58,64.98,
5,1,run-14,szMonitoring,0.73,27.78,
5,1,run-15,szMonitoring,0.74,25.23,
5,1,run-16,szMonitoring,1.18,39.77,
5,1,run-17,szMonitoring,4.3,111.23,
5,1,run-18,szMonitoring,30.79,1156.95,
5,1,run-19,szMonitoring,22.26,796.58,
5,1,run-20,szMonitoring,1.79,71.87,
5,1,run-21,szMonitoring,1.87,77.6,
5,1,run-22,szMonitoring,2.72,114.42,
5,1,run-23,szMonitoring,14.56,602.93,
5,1,run-24,szMonitoring,2.21,83.85,
5,1,run-25,szMonitoring,0.83,21.03,
005,01,run-26,szMonitoring,8.56,359.33,
